,imageid,labels,scores
10,1888279111470907589,"['Child', 'Horse', 'Smile']","[0.7654775381088257, 0.7519150376319885, 0.5404295921325684]"
11,1888354763528130949,"['Building', 'Architecture', 'Facade', 'Sky', 'Hotel', 'House', 'Mixed-use', 'Commercial building', 'Home', 'City']","[0.8564633131027222, 0.8556758165359497, 0.7860801219940186, 0.7326111197471619, 0.6080011129379272, 0.5928719639778137, 0.5776970982551575, 0.5758923888206482, 0.5695543885231018, 0.5619292855262756]"
12,1888430312992553615,"['Sky', 'Mountainous landforms', 'Mountain', 'Blue', 'Mountain range', 'Cloud', 'Horizon', 'Wilderness', 'Badlands', 'Geology']","[0.9840472340583801, 0.9792076349258423, 0.9658712148666382, 0.9606584906578064, 0.9555043578147888, 0.9149162173271179, 0.9094042778015137, 0.8854291439056396, 0.8546478152275085, 0.8201905488967896]"
13,1888505922360208565,"['Elephants and Mammoths', 'Vertebrate', 'Wildlife', 'Terrestrial animal', 'Mammal', 'African elephant', 'Indian elephant', 'Grassland', 'Wilderness', 'Nature reserve']","[0.9917300343513489, 0.9851104021072388, 0.9841070771217346, 0.9830611944198608, 0.9727270603179932, 0.9690690040588379, 0.9518674612045288, 0.9421263933181763, 0.9127740263938904, 0.896547794342041]"
14,1888585755989497878,"['Red', 'Dress', 'Font', 'Stock photography', 'Fashion accessory', 'Fashion design', 'Costume design', 'Formal wear']","[0.9602789282798767, 0.7849066853523254, 0.6857237815856934, 0.6205405592918396, 0.5994094014167786, 0.5591307878494263, 0.5492227673530579, 0.5228210091590881]"
15,1888585757516307856,"['Head', 'Photography', 'Neck', 'Ear', 'Fashion accessory', 'Art']","[0.8762359619140625, 0.6242249608039856, 0.599070131778717, 0.5822066068649292, 0.5458008050918579, 0.502187192440033]"
16,1888958815630742925,"['Hat', 'Headgear', 'Fashion accessory', 'Cowboy hat', 'Fedora', 'Smile']","[0.9205306172370911, 0.7821933031082153, 0.6996912956237793, 0.6628023982048035, 0.6150409579277039, 0.5404295921325684]"
17,1889034010626180210,"['Historic site', 'Holy places', 'Ancient history', 'Aerial photography', 'Building', 'History', 'Archaeological site', 'Unesco world heritage site', 'Architecture', 'Fortification']","[0.9160116910934448, 0.9002916812896729, 0.8706349730491638, 0.8177067041397095, 0.7653245329856873, 0.7332905530929565, 0.7247052192687988, 0.6970133781433105, 0.6545118689537048, 0.6514723896980286]"
18,1889331592965215146,"['Spring', 'Flower', 'Plant', 'Organism', 'Blossom', 'Photography', 'Adaptation', 'Photo caption', 'Geisha', 'Vintage clothing']","[0.7695760726928711, 0.7335415482521057, 0.7271697521209717, 0.7151590585708618, 0.69066321849823, 0.6778864860534668, 0.6696612238883972, 0.6294999122619629, 0.5964189767837524, 0.558910071849823]"
19,1889331595557277728,"['Natural landscape', 'Nature', 'Tree', 'Spring', 'Branch', 'Plant', 'Blossom', 'Lighting', 'Sky', 'Flower']","[0.9779376983642578, 0.97316974401474, 0.9618273377418518, 0.9179190993309021, 0.9168453216552734, 0.8675342202186584, 0.8311132192611694, 0.8236098289489746, 0.8220894932746887, 0.8120628595352173]"
20,1889426907432537531,"['Dog', 'Vertebrate', 'Canidae', 'Standard Poodle', 'Mammal', 'Black', 'Poodle', 'Dog breed', 'Carnivore', 'Sporting Group']","[0.9953705072402954, 0.9851104021072388, 0.9765394330024719, 0.9715414047241211, 0.9705943465232849, 0.9512329697608948, 0.945311427116394, 0.9129055738449097, 0.8366177082061768, 0.785083532333374]"
21,1889502167104968468,"['Water transportation', 'Boat', 'Sky', 'Vehicle', 'Calm', 'Water', 'Sea', 'Waterway', 'Fishing vessel', 'Watercraft']","[0.9803974628448486, 0.9287067651748657, 0.9014298319816589, 0.8956539630889893, 0.8253241777420044, 0.8073040843009949, 0.7390329241752625, 0.7336461544036865, 0.7270151972770691, 0.7096084952354431]"
22,1889577852630891446,"['Rock', 'Green', 'Formation', 'Geology', 'Bedrock', 'Outcrop', 'Leaf', 'Geological phenomenon', 'Sky', 'Tree']","[0.9284398555755615, 0.9068462252616882, 0.8956102132797241, 0.8603665828704834, 0.8198405504226685, 0.7907611131668091, 0.7594611644744873, 0.739093005657196, 0.7326111197471619, 0.6869218349456787]"
23,1889698482525118531,"['Desert', 'Sand', 'Natural environment', 'Aeolian landform', 'Erg', 'Dune', 'Sahara', 'Singing sand', 'Sky', 'Landscape']","[0.9927598834037781, 0.9876489639282227, 0.9763838648796082, 0.9674099087715149, 0.9667137265205383, 0.9651250839233398, 0.9511584639549255, 0.910000741481781, 0.9014298319816589, 0.8591563701629639]"
24,1889773845227159161,"['Face', 'Hair', 'Smile', 'Facial expression', 'Skin', 'Eyebrow', 'Beauty', 'Head', 'Nose', 'Happy']","[0.9807153344154358, 0.9711661338806152, 0.9609235525131226, 0.9447926878929138, 0.9137958288192749, 0.9045229554176331, 0.8902267217636108, 0.8901773691177368, 0.8699295520782471, 0.8437617421150208]"
25,1889849386402332812,"['Vertebrate', 'Mammal', 'Canidae', 'Fur', 'Dog breed', 'Carnivore', 'Wildlife', 'Arctic fox', 'American eskimo dog', 'Volpino italiano']","[0.9851104021072388, 0.975814163684845, 0.8606098294258118, 0.6912783980369568, 0.6294870376586914, 0.5802003145217896, 0.5761504173278809, 0.5714994072914124, 0.5535858273506165, 0.5371362566947937]"
26,1889925216827940189,"['Blue', 'Water', 'Sky', 'Ocean', 'Sea', 'Aqua', 'Atmosphere', 'Azure', 'Turquoise', 'Calm']","[0.9841034412384033, 0.9643341898918152, 0.9482885003089905, 0.9427894353866577, 0.9350067377090454, 0.8846998810768127, 0.8626090288162231, 0.8580112457275391, 0.805598258972168, 0.8017123341560364]"
27,1890000756040356063,"['Art', 'Brown', 'Visual arts', 'Formation', 'Stock photography', 'Still life photography', 'Painting', 'Darkness', 'Illustration', 'Still life']","[0.8239761590957642, 0.8123106956481934, 0.6993530988693237, 0.682327389717102, 0.6663312315940857, 0.6508639454841614, 0.6384801864624023, 0.6052605509757996, 0.5451834201812744, 0.5115653872489929]"
28,1890116795035017024,"['Sombrero', 'Hat', 'Headgear', 'Photography', 'Muscle', 'Cowboy hat', 'Art', 'Stock photography', 'Flesh', 'Fashion accessory']","[0.8173422813415527, 0.8047205805778503, 0.7367963790893555, 0.7060428261756897, 0.7043865323066711, 0.6822546124458313, 0.655128538608551, 0.6543993353843689, 0.606012761592865, 0.5994094014167786]"
29,1890260169784216473,"['Sky', 'Water', 'Coast', 'Sea', 'Cloud', 'Bay', 'Coastal and oceanic landforms', 'Mountain', 'Shore', 'House']","[0.9668051600456238, 0.9388793110847473, 0.9098789095878601, 0.9018215537071228, 0.8821157813072205, 0.78408282995224, 0.7739421129226685, 0.7660768032073975, 0.7441081404685974, 0.7423370480537415]"
30,1890335498115989981,"['Naval architecture', 'Fishing vessel', 'Vehicle', 'Recreation', 'Vacation', 'Boat', 'Boating', 'Tourism', 'Team', 'Fish']","[0.7150244116783142, 0.697374701499939, 0.6707282066345215, 0.6427465081214905, 0.6369329690933228, 0.6270470023155212, 0.6128966808319092, 0.5688954591751099, 0.5231971144676208, 0.5119314193725586]"
31,1890408028562434925,"['Child', 'Toddler', 'Fun', 'Smile', 'Vacation', 'Happy', 'Play']","[0.9356070756912231, 0.7187612056732178, 0.7039424180984497, 0.6410647034645081, 0.5459582805633545, 0.5412643551826477, 0.5086634755134583]"
32,1890499076886323185,"['Wildlife', 'Ecoregion', 'Savanna', 'Herd', 'Safari', 'Plain', 'Lion', 'Old world monkey', 'Grassland', 'Steppe']","[0.9319244623184204, 0.8410316705703735, 0.8389906287193298, 0.780345618724823, 0.7728762030601501, 0.7515619397163391, 0.6955147981643677, 0.6783161759376526, 0.6671316623687744, 0.5926506519317627]"
33,1890574150843811604,"['Ball game', 'Team sport', 'Sports', 'Player', 'Tournament', 'Sport venue', 'Team', 'Fan', 'Sports equipment', 'Arena']","[0.9741889834403992, 0.9387605786323547, 0.9200862646102905, 0.8798145055770874, 0.8134132623672485, 0.7257787585258484, 0.6768946051597595, 0.6700310111045837, 0.6097142100334167, 0.60062175989151]"
34,1890685666322235608,"['Beach', 'Fun', 'Vacation', 'Sea', 'Summer', 'Sand', 'Dog walking', 'Ocean', 'Human', 'Surfing']","[0.9757655262947083, 0.9036797881126404, 0.8792272806167603, 0.86128830909729, 0.8363890647888184, 0.8216392397880554, 0.8027472496032715, 0.7867192625999451, 0.746764600276947, 0.7403771877288818]"
35,1891027443427330695,"['Wildlife', 'Swamp', 'Tree', 'Adaptation', 'Plant', 'Wetland', 'Bayou', 'Orangutan', 'Primate']","[0.9028053879737854, 0.7337403297424316, 0.6869218349456787, 0.6696612238883972, 0.585474967956543, 0.5852352380752563, 0.5386170148849487, 0.5338111519813538, 0.5298312306404114]"
36,1891103031605522004,"['People', 'Photography', 'Tree', 'Human', 'Adaptation', 'Forest', 'Jungle', 'Plant', 'Vacation', 'Sitting']","[0.9370215535163879, 0.7484625577926636, 0.7469744682312012, 0.746764600276947, 0.7408301830291748, 0.6951944231987, 0.6181496381759644, 0.585474967956543, 0.5459582805633545, 0.5408528447151184]"
37,1891253663482111118,"['Soldier', 'Military', 'Army', 'Marines', 'Combat']","[0.7896257042884827, 0.7249554395675659, 0.5313332676887512, 0.5134561657905579, 0.5052517652511597]"
38,1891399251599988468,"['Iceberg', 'Polar ice cap', 'Ice', 'Sea ice', 'Arctic ocean', 'Natural environment', 'Freezing', 'Ice cap', 'Arctic', 'Ocean']","[0.9823257923126221, 0.9737085103988647, 0.9614449143409729, 0.9570143222808838, 0.89019376039505, 0.8843857049942017, 0.8816283941268921, 0.8789859414100647, 0.8707413077354431, 0.8692765831947327]"
39,1891435461244938389,"['Body of water', 'Sea', 'Coast', 'Beach', 'Ocean', 'Sky', 'Shore', 'Coastal and oceanic landforms', 'Azure', 'Wave']","[0.9866352081298828, 0.9691161513328552, 0.9624605178833008, 0.9618953466415405, 0.9310067892074585, 0.9281086325645447, 0.9253842234611511, 0.920555830001831, 0.8308376669883728, 0.8157650828361511]"
40,1891511383247627369,['Fish'],[0.595446765422821]
41,1891607835664291269,"['Blue', 'Scuba diving', 'Underwater diving', 'Underwater', 'Water', 'Organism', 'Freediving', 'Recreation', 'Marine biology', 'Diving']","[0.9445302486419678, 0.8991162180900574, 0.8395929336547852, 0.8318741321563721, 0.8073040843009949, 0.7671774625778198, 0.737877607345581, 0.7356995344161987, 0.6255818009376526, 0.5873293876647949]"
42,1891607840672218905,"['Blue', 'Water', 'Turquoise', 'Sky', 'Electric blue', 'World']","[0.9827247262001038, 0.9578154683113098, 0.8878480792045593, 0.7326111197471619, 0.6379328370094299, 0.5313754081726074]"
43,1891691760340413314,"['Fur seal', 'Terrestrial animal', 'Seal', 'Snout', 'Harbor seal', 'Wildlife', 'Marine mammal', 'Fur', 'Zoo', 'Sand']","[0.9531934857368469, 0.8932476043701172, 0.8849346041679382, 0.7840312123298645, 0.7600783705711365, 0.6762316226959229, 0.6623119711875916, 0.6584832668304443, 0.5824729204177856, 0.5228712558746338]"
44,1891692376752119839,"['Sky', 'White', 'Cloud', 'Atmospheric phenomenon', 'Mountain', 'Ecoregion', 'Sea', 'Highland', 'Landscape', 'Hill']","[0.9724588990211487, 0.96750408411026, 0.936015784740448, 0.8748210072517395, 0.7835753560066223, 0.7763616442680359, 0.7743779420852661, 0.7702344059944153, 0.766002893447876, 0.7590211629867554]"
45,1891768305472111017,"['Wildlife', 'Vertebrate', 'Mammal', 'Lion', 'Felidae', 'Terrestrial animal', 'Grassland', 'Masai lion', 'Big cats', 'Carnivore']","[0.9857012033462524, 0.9851104021072388, 0.975814163684845, 0.9691066741943359, 0.9483317136764526, 0.9189470410346985, 0.9125024676322937, 0.9020664095878601, 0.895008385181427, 0.7800981402397156]"
46,1891843292396553943,"['Vehicle', 'Bicycle', 'Road', 'Street', 'Mode of transport', 'Transport', 'Pedestrian crossing', 'Zebra crossing', 'Infrastructure', 'Pedestrian']","[0.8984794020652771, 0.8868651390075684, 0.8550006151199341, 0.852620005607605, 0.8394080996513367, 0.835134744644165, 0.787186861038208, 0.7808602452278137, 0.7579090595245361, 0.7512237429618835]"
47,1891918377870494453,"['Rhinoceros', 'White rhinoceros', 'Black rhinoceros', 'Indian rhinoceros', 'Sumatran rhinoceros', 'Skin', 'Terrestrial animal', 'Horn', 'Snout', 'Wildlife']","[0.99166339635849, 0.9762575626373291, 0.9652231335639954, 0.9348382353782654, 0.8846806287765503, 0.8811389803886414, 0.8707018494606018, 0.7964529991149902, 0.7342774271965027, 0.7285952568054199]"
48,1891996248363578558,"['Vertebrate', 'Mammal', 'Bear', 'American black bear', 'Wildlife', 'Terrestrial animal', 'Water', 'Carnivore', 'Watercourse', 'Brown bear']","[0.9851104021072388, 0.9705943465232849, 0.949922502040863, 0.8906059861183167, 0.8573043346405029, 0.8319084644317627, 0.8073040843009949, 0.7839155197143555, 0.6586824059486389, 0.6063182353973389]"
49,1892069166597292710,"['Human', 'Muscle', 'Leg', 'Adaptation', 'Barechested', 'Sitting', 'Photography', 'Temple', 'Metal', 'Street']","[0.8087015151977539, 0.7043865323066711, 0.6920332312583923, 0.6696612238883972, 0.6279636025428772, 0.6250489354133606, 0.6242249608039856, 0.6113089919090271, 0.6070610880851746, 0.5738203525543213]"
50,1892144815374848918,"['Bird', 'Vertebrate', 'Beak', 'Nightingale', 'robin', 'Perching bird', 'Songbird', 'Wildlife', 'Cuckoo', 'Old World flycatcher']","[0.9960000514984131, 0.9851104021072388, 0.9705232977867126, 0.8494995832443237, 0.6974986791610718, 0.6968265771865845, 0.6569523215293884, 0.5761504173278809, 0.5360819101333618, 0.5349507927894592]"
51,1892220001286349864,"['White', 'Face', 'Head', 'Child', 'Photography', 'Smile']","[0.9751520156860352, 0.9538267254829407, 0.8762359619140625, 0.6452686190605164, 0.6242249608039856, 0.5404295921325684]"
52,1892296162172319746,"['People', 'Wall', 'Red', 'Pink', 'Adaptation', 'Human', 'Temple', 'Smile', 'Brick', 'Photography']","[0.9414708614349365, 0.9265212416648865, 0.901925265789032, 0.8449604511260986, 0.7725779414176941, 0.7591204047203064, 0.6743893623352051, 0.6410647034645081, 0.6337400674819946, 0.6242249608039856]"
53,1892402051310120617,"['Sky', 'Grassland', 'Natural landscape', 'Pasture', 'Wildlife', 'Cloud', 'Grazing', 'Natural environment', 'Prairie', 'Plain']","[0.9833007454872131, 0.9602136611938477, 0.9398155808448792, 0.9176802039146423, 0.9117778539657593, 0.8901301622390747, 0.8863493800163269, 0.8714959025382996, 0.847160279750824, 0.7885724902153015]"
54,1892476404692496026,"['Mammal', 'Vertebrate', 'Grizzly bear', 'Bear', 'Terrestrial animal', 'Brown bear', 'American black bear', 'Wildlife', 'Carnivore', 'Snout']","[0.9890478253364563, 0.9851104021072388, 0.9724661707878113, 0.9702450633049011, 0.9634320139884949, 0.9576154351234436, 0.9040675759315491, 0.8695918917655945, 0.8449411392211914, 0.7840312123298645]"
55,1892567427548491111,"['Hair accessory', 'Headgear', 'Hair tie', 'Fashion accessory', 'Long hair', 'Ribbon', 'Headband']","[0.8157857656478882, 0.6747809648513794, 0.6023967862129211, 0.5773680210113525, 0.5641460418701172, 0.5472322106361389, 0.5370844602584839]"
56,1892643062199368555,"['Elephants and Mammoths', 'African elephant', 'Indian elephant', 'Wildlife', 'Reflection', 'Terrestrial animal', 'Herd', 'Sky', 'Adaptation', 'Working animal']","[0.9809178709983826, 0.9614502191543579, 0.9361041188240051, 0.9172753691673279, 0.903697669506073, 0.8707018494606018, 0.7775618433952332, 0.7326111197471619, 0.6696612238883972, 0.6108180284500122]"
57,1892716082172841098,"['Bird', 'Vertebrate', 'Flightless bird', 'Beak', 'Gentoo penguin', 'Penguin', 'Water', 'Geological phenomenon', 'Organism', 'Wildlife']","[0.9911496639251709, 0.9851104021072388, 0.9633889198303223, 0.944757878780365, 0.9416908025741577, 0.9023450613021851, 0.8073040843009949, 0.7950030565261841, 0.7941054701805115, 0.7285952568054199]"
58,1892794557567274599,"['Grassland', 'Steppe', 'Wilderness', 'Ecoregion', 'Grass family', 'Grass', 'Mountain', 'Valley', 'Landscape', 'Fell']","[0.8680770397186279, 0.8419049382209778, 0.8300167322158813, 0.7905263304710388, 0.7709067463874817, 0.6880232691764832, 0.6857818365097046, 0.6744645833969116, 0.6504039168357849, 0.6022623777389526]"
59,1892869486801921709,"['Sky', 'Silhouette', 'Water', 'Wildlife', 'Tree', 'Heat', 'Sunlight', 'Sunset', 'Tail', 'Backlighting']","[0.9014298319816589, 0.8274576663970947, 0.8073040843009949, 0.786455512046814, 0.6869218349456787, 0.6326099634170532, 0.6205447316169739, 0.5900660753250122, 0.5782358050346375, 0.5106545090675354]"
60,1892946687800277371,"['Vegetation', 'Tropical and subtropical coniferous forests', 'Forest', 'Natural environment', 'Nature reserve', 'Jungle', 'Hill station', 'Rainforest', 'Old-growth forest', 'Biome']","[0.9848354458808899, 0.9735879898071289, 0.9713300466537476, 0.9564717411994934, 0.9524750709533691, 0.938683032989502, 0.9359164834022522, 0.9238443970680237, 0.9156043529510498, 0.9131030440330505]"
61,1893038412045051304,"['Organism', 'Recreation', 'Cave']","[0.7151590585708618, 0.5942989587783813, 0.5349936485290527]"
62,1893038412640607009,"['Caving', 'Cave', 'Formation', 'Recreation', 'Adventure', 'Coastal and oceanic landforms', 'Darkness', 'Geology', 'Rock', 'Geological phenomenon']","[0.9122044444084167, 0.9033474922180176, 0.8771570324897766, 0.8119574189186096, 0.7564391493797302, 0.7035946249961853, 0.657930850982666, 0.6497763991355896, 0.6438128352165222, 0.6163091659545898]"
63,1893038414972791087,"['Formation', 'Caving', 'Cave', 'Geological phenomenon', 'Geology', 'Rock', 'Lava tube', 'Adventure', 'Recreation', 'Coastal and oceanic landforms']","[0.9240900278091431, 0.8630431294441223, 0.8355552554130554, 0.8274269104003906, 0.7853172421455383, 0.7335856556892395, 0.7161850333213806, 0.6483882665634155, 0.6427465081214905, 0.6030987501144409]"
64,1893038415257839862,"['Geological phenomenon', 'Cave', 'Formation', 'Geology', 'Caving', 'Darkness', 'Rock', 'Space', 'Erosion', 'Art']","[0.9219033718109131, 0.861145555973053, 0.7726945877075195, 0.7333696484565735, 0.60191410779953, 0.5705099105834961, 0.5422748923301697, 0.5419734120368958, 0.5303564667701721, 0.502187192440033]"
65,1893038415450957082,"['Nature', 'Formation', 'Cave', 'Tree', 'Water', 'Rock', 'Geology', 'Erosion', 'Speleothem', 'Coastal and oceanic landforms']","[0.9627566337585449, 0.9518809914588928, 0.8854036331176758, 0.8600977063179016, 0.8073040843009949, 0.7944315671920776, 0.7790471315383911, 0.7288134694099426, 0.628748893737793, 0.6287432312965393]"
66,1893215133665361620,"['Sky', 'Nature', 'Cloud', 'Rock', 'Formation', 'Badlands', 'Geological phenomenon', 'Wilderness', 'Mountain', 'Sunset']","[0.9845877885818481, 0.9564022421836853, 0.9188361763954163, 0.8999095559120178, 0.8649510741233826, 0.8320187926292419, 0.8274269104003906, 0.8227760791778564, 0.8101072311401367, 0.8056185841560364]"
67,1893382666155580743,"['Furniture', 'Floor', 'Interior design', 'Building', 'Architecture', 'Room', 'Material property', 'Lobby', 'Table', 'Flooring']","[0.8273491263389587, 0.8075265288352966, 0.7938723564147949, 0.7834835648536682, 0.7632943391799927, 0.7444316148757935, 0.7066208720207214, 0.7062730193138123, 0.672255277633667, 0.654179573059082]"
68,1893383201021500150,"['Vertebrate', 'Wildlife', 'Terrestrial animal', 'Lion', 'Felidae', 'Safari', 'Big cats', 'Predation', 'Adaptation', 'Savanna']","[0.9851104021072388, 0.9843943119049072, 0.9634320139884949, 0.9572105407714844, 0.9361234307289124, 0.8982500433921814, 0.835422694683075, 0.7772799730300903, 0.7408301830291748, 0.7358567714691162]"
69,1893489266170101419,"['Sky', 'Mountainous landforms', 'Highland', 'Plain', 'Tundra', 'Mountain', 'Natural environment', 'Ecoregion', 'Natural landscape', 'Grassland']","[0.9614005088806152, 0.9537346363067627, 0.9357195496559143, 0.9144230484962463, 0.9141835570335388, 0.9091306924819946, 0.900394082069397, 0.8982676863670349, 0.8855189085006714, 0.8601839542388916]"
70,1893563887341645903,"['Water', 'People', 'Child', 'Bathing', 'Fun', 'Play', 'Adaptation', 'Vacation', 'Smile', 'Washing']","[0.9512578248977661, 0.9312721490859985, 0.8744050860404968, 0.7945703268051147, 0.7684727907180786, 0.6753500699996948, 0.6696612238883972, 0.600033700466156, 0.5404295921325684, 0.5363889336585999]"
71,1893638069447817448,"['Sky', 'Tree', 'Atmospheric phenomenon', 'Night', 'Atmosphere', 'Midnight', 'Landscape', 'Star', 'Space', 'Aurora']","[0.9868291020393372, 0.8600977063179016, 0.8569148182868958, 0.8507042527198792, 0.8043394088745117, 0.7087387442588806, 0.7008891105651855, 0.6980774998664856, 0.6631224751472473, 0.6562672257423401]"
72,1893742847674794901,"['Ruins', 'Stock photography', 'Temple', 'Architecture', 'Building', 'Ancient history', 'Historic site', 'House', 'Art']","[0.7323254346847534, 0.6663312315940857, 0.6622724533081055, 0.6545118689537048, 0.5698837637901306, 0.5643377900123596, 0.5628833770751953, 0.5369300842285156, 0.502187192440033]"
73,1893841906841235842,"['Formation', 'Nature', 'Rock', 'Mountainous landforms', 'Badlands', 'Canyon', 'Geology', 'Sky', 'Wadi', 'Geological phenomenon']","[0.9635211825370789, 0.9494227766990662, 0.9071449637413025, 0.9060613512992859, 0.8852255344390869, 0.8798156380653381, 0.8758696913719177, 0.862245500087738, 0.846638560295105, 0.8274269104003906]"
74,1893939486199636667,"['Sky', 'Nature', 'Cloud', 'Natural landscape', 'Natural environment', 'Wilderness', 'Hill', 'Dirt road', 'Landscape', 'Badlands']","[0.9812977910041809, 0.9726758003234863, 0.9557129740715027, 0.9398155808448792, 0.8714959025382996, 0.862949788570404, 0.8260859847068787, 0.8119372129440308, 0.8102415800094604, 0.8092186450958252]"
75,1894017031356005706,"['Face', 'Turban', 'Eye', 'Human', 'Headgear', 'Portrait', 'Darkness', 'Photography', 'Hand', 'Portrait photography']","[0.9538267254829407, 0.8379412889480591, 0.7865645289421082, 0.746764600276947, 0.7030179500579834, 0.6972887516021729, 0.6963956356048584, 0.6778864860534668, 0.6600293517112732, 0.6475480198860168]"
76,1894093400915942213,"['Glasses', 'Facial hair']","[0.6738030314445496, 0.5552889108657837]"
77,1894168273092687013,"['Face', 'Forehead', 'Head', 'Chin', 'Wrinkle', 'Skin', 'Human', 'Cheek', 'Portrait', 'Portrait photography']","[0.9761356711387634, 0.9729272127151489, 0.9061321020126343, 0.8831122517585754, 0.8772810697555542, 0.859302818775177, 0.8167908191680908, 0.7994794845581055, 0.6044750809669495, 0.5847892761230469]"
78,1894245013546599254,"['Mountainous landforms', 'Mountain', 'Sky', 'Highland', 'Mountain range', 'Hill', 'Fell', 'Cloud', 'Ridge', 'Landscape']","[0.9655172824859619, 0.9652321934700012, 0.9127334952354431, 0.9033374190330505, 0.8444300293922424, 0.8157907724380493, 0.7941074967384338, 0.742751955986023, 0.7226879000663757, 0.6808176636695862]"
79,1894320118582893188,"['People in nature', 'Tree', 'Branch', 'Sky', 'Human', 'Standing', 'Woody plant', 'Plant', 'Adaptation', 'Stock photography']","[0.9789053201675415, 0.9487800598144531, 0.9439616203308105, 0.9213254451751709, 0.7981283664703369, 0.7958223819732666, 0.7904274463653564, 0.7470011115074158, 0.7408301830291748, 0.7090502381324768]"
80,1894486913788941844,"['Social group', 'People', 'Community', 'Crowd', 'Fun', 'Tourism', 'Event', 'Adaptation', 'Team', 'Travel']","[0.9453780055046082, 0.9393768906593323, 0.846064567565918, 0.7638753652572632, 0.7039424180984497, 0.6970807909965515, 0.6704323887825012, 0.6696612238883972, 0.5935059189796448, 0.5926231145858765]"
81,1894561086281458517,"['Sky', 'Light', 'Aerial photography', 'Sunlight', 'Urban area', 'Horizon', 'Architecture', 'Technology', 'Sunset', 'City']","[0.9482885003089905, 0.8738561868667603, 0.8719812631607056, 0.7985071539878845, 0.7801249027252197, 0.7297202348709106, 0.7263345718383789, 0.7120628952980042, 0.6935234665870667, 0.6861301064491272]"
